datetime,open,high,low,close,volume
2019-06-04 04:36:00+00:00,7959.68,7963.52,7947.33,7947.33,13.902859
2019-06-04 04:37:00+00:00,7948.59,7949.82,7945.22,7946.01,11.73346
2019-06-04 04:38:00+00:00,7945.1,7946.46,7938.54,7943.49,22.29927
2019-06-04 04:39:00+00:00,7944.18,7949.52,7940.0,7949.14,20.534724
2019-06-04 04:40:00+00:00,7949.12,7950.79,7937.5,7940.64,25.046717
2019-06-04 04:41:00+00:00,7940.0,7951.82,7934.93,7946.69,127.018984
2019-06-04 04:42:00+00:00,7946.78,7972.26,7946.68,7970.72,27.376591
2019-06-04 04:43:00+00:00,7972.21,7974.7,7964.82,7972.97,27.970899
2019-06-04 04:44:00+00:00,7972.07,7975.0,7971.0,7973.0,21.385082
2019-06-04 04:45:00+00:00,7973.0,7995.18,7972.69,7995.0,52.863992
2019-06-04 04:46:00+00:00,7991.8,7995.76,7980.68,7988.96,38.273727
2019-06-04 04:47:00+00:00,7987.35,7993.76,7977.98,7980.69,59.164047
2019-06-04 04:48:00+00:00,7980.69,7995.36,7978.52,7990.68,21.347025
2019-06-04 04:49:00+00:00,7990.46,8007.28,7990.05,7995.84,53.422621
2019-06-04 04:50:00+00:00,7996.97,7999.83,7989.89,7989.89,18.30881
2019-06-04 04:51:00+00:00,7989.89,7996.54,7984.81,7994.29,16.10795
2019-06-04 04:52:00+00:00,7997.53,8000.07,7985.35,7986.77,24.016017
2019-06-04 04:53:00+00:00,7985.36,7993.8,7983.54,7987.75,20.103844
2019-06-04 04:54:00+00:00,7986.95,7992.4,7985.71,7988.79,8.257718
2019-06-04 04:55:00+00:00,7988.48,7988.48,7971.0,7974.84,22.002696
2019-06-04 04:56:00+00:00,7973.41,7981.79,7971.82,7978.51,16.289674
2019-06-04 04:57:00+00:00,7978.69,7980.81,7969.56,7969.56,16.148252
2019-06-04 04:58:00+00:00,7969.95,7981.42,7967.06,7977.07,34.463413
2019-06-04 04:59:00+00:00,7977.29,7982.07,7973.23,7973.23,13.09472
2019-06-04 05:00:00+00:00,7973.05,7994.68,7970.76,7988.69,50.699942
2019-06-04 05:01:00+00:00,7990.46,8004.85,7989.21,8000.0,34.011011
2019-06-04 05:02:00+00:00,7999.12,8004.88,7997.0,8003.94,31.23999
2019-06-04 05:03:00+00:00,8000.97,8003.99,7991.48,7991.67,21.434075
2019-06-04 05:04:00+00:00,7991.93,7996.58,7978.06,7984.33,25.365902
2019-06-04 05:05:00+00:00,7984.31,7993.53,7980.92,7991.5,11.531145
